File ID,Prolongation_Present,Prolongation Frequency Score,Prolongation Duration Score,Prolongation Severity Score,Interjection_Present,Interjection Frequency Score,Interjection Duration Score,Interjection Severity Score,Block_Present,Block Frequency Score,Block Duration Score,Block Severity Score,SoundRep_Present,SoundRep Frequency Score,SoundRep Duration Score,SoundRep Severity Score,WordRep_Present,WordRep Frequency Score,WordRep Duration Score,WordRep Severity Score,NoStutteredWords,Overall Severity Score
prolongation_clip_001,1,3,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
interjection_clip_001,0,0,0,0,1,2,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
block_clip_001,0,0,0,0,0,0,0,0,1,2,3,85,0,0,0,0,0,0,0,0,0,85.0
soundrep_clip_001,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,85,0,0,0,0,0,85.0
wordrep_clip_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,70,0,70.0
prolongation_clip_002,1,3,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
interjection_clip_002,0,0,0,0,1,1,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
block_clip_002,0,0,0,0,0,0,0,0,1,3,1,70,0,0,0,0,0,0,0,0,0,70.0
soundrep_clip_002,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,85,0,0,0,0,0,85.0
wordrep_clip_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,40,0,40.0
prolongation_clip_003,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
interjection_clip_003,0,0,0,0,1,3,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
block_clip_003,0,0,0,0,0,0,0,0,1,3,1,70,0,0,0,0,0,0,0,0,0,70.0
soundrep_clip_003,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,55,0,0,0,0,0,55.0
wordrep_clip_003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,55,0,55.0
prolongation_clip_004,1,2,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
interjection_clip_004,0,0,0,0,1,1,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
block_clip_004,0,0,0,0,0,0,0,0,1,2,1,55,0,0,0,0,0,0,0,0,0,55.0
soundrep_clip_004,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,70,0,0,0,0,0,70.0
wordrep_clip_004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,85,0,85.0
prolongation_clip_005,1,2,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
interjection_clip_005,0,0,0,0,1,2,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
block_clip_005,0,0,0,0,0,0,0,0,1,1,3,70,0,0,0,0,0,0,0,0,0,70.0
soundrep_clip_005,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,100,0,0,0,0,0,100.0
wordrep_clip_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,70,0,70.0
prolongation_clip_006,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
interjection_clip_006,0,0,0,0,1,2,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
block_clip_006,0,0,0,0,0,0,0,0,1,1,3,70,0,0,0,0,0,0,0,0,0,70.0
soundrep_clip_006,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,85,0,0,0,0,0,85.0
wordrep_clip_006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,85,0,85.0
prolongation_clip_007,1,2,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
interjection_clip_007,0,0,0,0,1,3,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
block_clip_007,0,0,0,0,0,0,0,0,1,1,3,70,0,0,0,0,0,0,0,0,0,70.0
soundrep_clip_007,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,55,0,0,0,0,0,55.0
wordrep_clip_007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,85,0,85.0
prolongation_clip_008,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
interjection_clip_008,0,0,0,0,1,1,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
block_clip_008,0,0,0,0,0,0,0,0,1,3,3,100,0,0,0,0,0,0,0,0,0,100.0
